"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Tokyo","Tokyo","35.685","139.7514","Japan","JP","JPN","Tōkyō","primary","35676000","1392685764"
"New York","New York","40.6943","-73.9249","United States","US","USA","New York","","19354922","1840034016"
"Mexico City","Mexico City","19.4424","-99.131","Mexico","MX","MEX","Ciudad de México","primary","19028000","1484247881"
"Mumbai","Mumbai","19.017","72.857","India","IN","IND","Mahārāshtra","admin","18978000","1356226629"
"São Paulo","Sao Paulo","-23.5587","-46.625","Brazil","BR","BRA","São Paulo","admin","18845000","1076532519"
"Delhi","Delhi","28.67","77.23","India","IN","IND","Delhi","admin","15926000","1356872604"
"Shanghai","Shanghai","31.2165","121.4365","China","CN","CHN","Shanghai","admin","14987000","1156073548"
"Kolkata","Kolkata","22.495","88.3247","India","IN","IND","West Bengal","admin","14787000","1356060520"
"Los Angeles","Los Angeles","34.1139","-118.4068","United States","US","USA","California","","12815475","1840020491"
"Dhaka","Dhaka","23.7231","90.4086","Bangladesh","BD","BGD","Dhaka","primary","12797394","1050529279"
"Buenos Aires","Buenos Aires","-34.6025","-58.3975","Argentina","AR","ARG","Buenos Aires, Ciudad Autónoma de","primary","12795000","1032717330"
"Karachi","Karachi","24.87","66.99","Pakistan","PK","PAK","Sindh","admin","12130000","1586129469"
"Cairo","Cairo","30.05","31.25","Egypt","EG","EGY","Al Qāhirah","primary","11893000","1818253931"
"Rio de Janeiro","Rio de Janeiro","-22.925","-43.225","Brazil","BR","BRA","Rio de Janeiro","admin","11748000","1076887657"
"Ōsaka","Osaka","34.75","135.4601","Japan","JP","JPN","Ōsaka","admin","11294000","1392419823"
"Beijing","Beijing","39.9289","116.3883","China","CN","CHN","Beijing","primary","11106000","1156228865"
"Manila","Manila","14.6042","120.9822","Philippines","PH","PHL","Manila","primary","11100000","1608618140"
"Moscow","Moscow","55.7522","37.6155","Russia","RU","RUS","Moskva","primary","10452000","1643318494"
"Istanbul","Istanbul","41.105","29.01","Turkey","TR","TUR","İstanbul","admin","10061000","1792756324"
